"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Population Usually Resident and Present in the State","2011","Female","All ages","Germany","Number","7193"
"Population Usually Resident and Present in the State","2011","Female","All ages","Greece","Number","241"
"Population Usually Resident and Present in the State","2011","Female","All ages","Hungary","Number","3530"
"Population Usually Resident and Present in the State","2011","Female","All ages","Italy","Number","3107"
"Population Usually Resident and Present in the State","2011","Female","All ages","Latvia","Number","11159"
"Population Usually Resident and Present in the State","2011","Female","All ages","Lithuania","Number","18240"
"Population Usually Resident and Present in the State","2011","Female","All ages","Luxembourg","Number","54"
"Population Usually Resident and Present in the State","2011","Female","All ages","Malta","Number","159"
"Population Usually Resident and Present in the State","2011","Female","All ages","Netherlands (the)","Number","2092"
"Population Usually Resident and Present in the State","2011","Female","All ages","Poland","Number","55584"
"Population Usually Resident and Present in the State","2011","Female","All ages","Portugal","Number","938"
"Population Usually Resident and Present in the State","2011","Female","All ages","Romania","Number","8828"
"Population Usually Resident and Present in the State","2011","Female","All ages","Slovakia","Number","5073"
"Population Usually Resident and Present in the State","2011","Female","All ages","Slovenia","Number","96"
"Population Usually Resident and Present in the State","2011","Female","All ages","Spain","Number","4157"
"Population Usually Resident and Present in the State","2011","Female","All ages","Sweden","Number","1003"
"Population Usually Resident and Present in the State","2011","Female","All ages","Albania","Number","359"
"Population Usually Resident and Present in the State","2011","Female","All ages","Belarus","Number","765"
"Population Usually Resident and Present in the State","2011","Female","All ages","Bosnia and Herzegovina","Number","607"
"Population Usually Resident and Present in the State","2011","Female","All ages","Kosovo","Number","329"
"Population Usually Resident and Present in the State","2011","Female","All ages","Moldova (the Republic of)","Number","1710"
"Population Usually Resident and Present in the State","2011","Female","All ages","Norway","Number","292"
"Population Usually Resident and Present in the State","2011","Female","All ages","Russian Federation (the)","Number","3211"
"Population Usually Resident and Present in the State","2011","Female","All ages","Serbia","Number","236"
"Population Usually Resident and Present in the State","2011","Female","All ages","Switzerland","Number","637"
"Population Usually Resident and Present in the State","2011","Female","All ages","Turkiye","Number","347"
"Population Usually Resident and Present in the State","2011","Female","All ages","Ukraine","Number","2139"
"Population Usually Resident and Present in the State","2011","Female","All ages","Other Europe(1)","Number","200"
"Population Usually Resident and Present in the State","2011","Female","All ages","Algeria","Number","395"
"Population Usually Resident and Present in the State","2011","Female","All ages","Angola","Number","519"
"Population Usually Resident and Present in the State","2011","Female","All ages","Botswana","Number","159"
"Population Usually Resident and Present in the State","2011","Female","All ages","Cameroon","Number","552"
"Population Usually Resident and Present in the State","2011","Female","All ages","Congo","Number","1428"
"Population Usually Resident and Present in the State","2011","Female","All ages","Egypt","Number","475"
"Population Usually Resident and Present in the State","2011","Female","All ages","Ethiopia","Number","293"
"Population Usually Resident and Present in the State","2011","Female","All ages","Ghana","Number","710"
"Population Usually Resident and Present in the State","2011","Female","All ages","Côte d'Ivoire","Number","152"
"Population Usually Resident and Present in the State","2011","Female","All ages","Kenya","Number","608"
"Population Usually Resident and Present in the State","2011","Female","All ages","Liberia","Number","98"
"Population Usually Resident and Present in the State","2011","Female","All ages","Libya","Number","329"
"Population Usually Resident and Present in the State","2011","Female","All ages","Malawi","Number","148"
"Population Usually Resident and Present in the State","2011","Female","All ages","Mauritius","Number","1279"
"Population Usually Resident and Present in the State","2011","Female","All ages","Morocco","Number","265"
"Population Usually Resident and Present in the State","2011","Female","All ages","Nigeria","Number","10610"
"Population Usually Resident and Present in the State","2011","Female","All ages","Sierra Leone","Number","178"
"Population Usually Resident and Present in the State","2011","Female","All ages","Somalia","Number","691"
"Population Usually Resident and Present in the State","2011","Female","All ages","South Africa","Number","4154"
"Population Usually Resident and Present in the State","2011","Female","All ages","Sudan (the)","Number","625"
"Population Usually Resident and Present in the State","2011","Female","All ages","Tanzania, the United Republic of","Number","157"
"Population Usually Resident and Present in the State","2011","Female","All ages","Togo","Number","152"
"Population Usually Resident and Present in the State","2011","Female","All ages","Tunisia","Number","74"
"Population Usually Resident and Present in the State","2011","Female","All ages","Uganda","Number","251"
"Population Usually Resident and Present in the State","2011","Female","All ages","Zambia","Number","354"
"Population Usually Resident and Present in the State","2011","Female","All ages","Zimbabwe","Number","1476"
"Population Usually Resident and Present in the State","2011","Female","All ages","Other Africa(2)","Number","928"
"Population Usually Resident and Present in the State","2011","Female","All ages","Afghanistan","Number","115"
"Population Usually Resident and Present in the State","2011","Female","All ages","Bahrain","Number","104"
"Population Usually Resident and Present in the State","2011","Female","All ages","Bangladesh","Number","1064"
"Population Usually Resident and Present in the State","2011","Female","All ages","Myanmar","Number","131"
"Population Usually Resident and Present in the State","2011","Female","All ages","China","Number","5987"
"Population Usually Resident and Present in the State","2011","Female","All ages","United Arab Emirates (the)","Number","225"
"Population Usually Resident and Present in the State","2011","Female","All ages","Georgia","Number","328"
